heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
92.0,8119,34.0344887,-118.2289067,True,18,18_241_0,25,2019-09-15 12:25:03.989927
174.0,8127,34.0630949,-118.30854,True,18,18_241_0,133,2019-09-15 12:25:03.989927
105.0,8172,34.0208797,-118.1599162,True,18,18_241_0,25,2019-09-15 12:25:03.989927
118.0,8557,34.0583888,-118.2723203,True,18,18_241_0,25,2019-09-15 12:25:03.989927
277.0,8133,34.0637789,-118.285392,True,18,18_233_1,25,2019-09-15 12:25:03.989927
296.0,8170,34.051876,-118.256821,True,18,18_233_1,25,2019-09-15 12:25:03.989927
271.0,8100,34.023963,-118.1847763,True,18,18_233_1,25,2019-09-15 12:25:03.989927
118.0,8175,34.0574468,-118.2703718,True,18,18_241_0,25,2019-09-15 12:25:03.989927
118.0,8211,34.062433,-118.281519,True,18,18_241_0,25,2019-09-15 12:25:03.989927
303.0,8140,34.0383442,-118.238631,True,18,18_233_1,25,2019-09-15 12:25:03.989927
220.0,8105,34.006416,-118.124985,True,18,18_233_1,25,2019-09-15 12:25:03.989927
270.0,8131,34.0148889,-118.130753,True,18,18_233_1,160,2019-09-15 12:25:03.989927
